GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,Public,"City of Decatur, AL; Morgan County, AL",1980,2051,Open,"6,779,927",2022,Yes,0.9,0.077,181062-1,Operational,"Project #2, Expansion #1",7/31/2011,,Electricity,Cogeneration,,0.69,0.9,0.37,0.0349,0.0033
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,Public,"City of Decatur, AL; Morgan County, AL",1980,2051,Open,"6,779,927",2022,Yes,0.9,0.077,57-0,Shutdown,Project #1,9/1/2004,12/31/2009,Direct,Direct Thermal,,,,1.008,,
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,Public,"City of Decatur, AL; Morgan County, AL",1980,2051,Open,"6,779,927",2022,Yes,0.9,0.077,57-1,Shutdown,"Project #1, Expansion #1",1/1/2008,12/31/2009,Direct,Direct Thermal,,,,0.216,,
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,Public,"City of Decatur, AL; Morgan County, AL",1980,2051,Open,"6,779,927",2022,Yes,0.9,0.077,57-2,Shutdown,"Project #1, De-Expansion #1",1/1/2010,12/31/2010,Direct,Direct Thermal,,,,0.144,,
1010957,19,City of Dothan SLF MSWLF,AL,1290 Burkett Road,Dothan,Houston,36303,31.238766,-85.356721,Public,"City of Dothan, AL",1977,2071,Open,"3,866,274",2022,No,,,74-0,Candidate,,,,Unknown,Unknown,,,,,,
1006186,9,Coffee County Sanitary Landfill,AL,7733 Highway 125,Elba,Coffee,36323,31.507053,-86.000975,Public,"Coffee County Commission, AL",1993,2048,Open,"4,725,619",2022,Yes,0.543,0.543,64-0,Planned,Project #1,1/1/2024,,Renewable Natural Gas,Other,Pipeline Injection,,,1.58,,
,3,Cullman County SLF,AL,"Highway 69
near Cold Springs",,Cullman,,,,Public,"Cullman County Commission, AL",1974,1993,Closed,"912,793",1993,No,,,58-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007382,4,Cullman Environmental Waste Management Center,AL,2805 AL Highway 69 South,Cullman,Cullman,35057,34.02878,-86.90069,Private,"Cullman Environmental, Inc.",1993,2040,Open,"2,164,857",2022,No,,,59-0,Candidate,,,,Unknown,Unknown,,,,,,
1007018,15,Eastern Area Landfill,AL,2787 Alton Drive,Birmingham,Jefferson,35210,33.5978,-86.6288,Public,"City of Birmingham, AL",1974,2038,Open,"4,496,135",2022,No,,,70-0,Candidate,,,,Unknown,Unknown,,,,,,
,35,Florence SLF MSWLF,AL,"29485 Waterloo Road & Savannah Highway
State Highway 20",Florence,Lauderdale,35630,34.806005,-87.714765,Public,"City of Florence Public Works, AL",1988,2015,Closed,"1,361,816",2009,No,,,90-0,Low Potential,,,,Unknown,Unknown,,,,,,
